1/1/2014	983
2/1/2014	1263
3/1/2014	1513
4/1/2014	1510
5/1/2014	1371
6/1/2014	1567
7/1/2014	1814
8/1/2014	1870
9/1/2014	2014
10/1/2014	1923
11/1/2014	1506
12/1/2014	1262
13/1/2014	1342
14/1/2014	1531
15/1/2014	1360
16/1/2014	1526
17/1/2014	1542
18/1/2014	1269
19/1/2014	1175
20/1/2014	1377
21/1/2014	1615
22/1/2014	1578
23/1/2014	1564
24/1/2014	1514
25/1/2014	1261
26/1/2014	1087
27/1/2014	1389
28/1/2014	1736
29/1/2014	1819
30/1/2014	1890
31/1/2014	1652
1/2/2014	1521
2/2/2014	1274
3/2/2014	1592
4/2/2014	1694
5/2/2014	1705
6/2/2014	1869
7/2/2014	1910
8/2/2014	1544
9/2/2014	1341
10/2/2014	1679
11/2/2014	1823
12/2/2014	1845
13/2/2014	1921
14/2/2014	1808
15/2/2014	1454
16/2/2014	1393
17/2/2014	1733
18/2/2014	1944
19/2/2014	1911
20/2/2014	1804
21/2/2014	1525
22/2/2014	573
23/2/2014	576
24/2/2014	740
25/2/2014	760
26/2/2014	784
27/2/2014	746
28/2/2014	713
1/3/2014	598
2/3/2014	619
3/3/2014	711
4/3/2014	766
5/3/2014	716
6/3/2014	803
7/3/2014	718
8/3/2014	562
9/3/2014	499
10/3/2014	573
11/3/2014	746
12/3/2014	679
13/3/2014	658
14/3/2014	694
15/3/2014	545
